region	XYcellid	X:X	Y:Y	celltypes	efact
reg1	527.5__1303	527.5	1303	Bcell	1
reg1	528__1257.5	528	1257.5	Bcell	1
reg1	529__1211.5	529	1211.5	Bcell	1
reg1	529.5__990.5	529.5	990.5	Bcell	1
reg1	529.5__1438	529.5	1438	Bcell	1
reg1	530__1417	530	1417	Bcell	1
reg1	531__1077	531	1077	Bcell	1
reg1	532__851.5	532	851.5	Bcell	1
reg1	532.5__1372.5	532.5	1372.5	Bcell	1
reg1	533.5__567	533.5	567	Bcell	1
reg1	533.5__658	533.5	658	Bcell	1
reg1	534__752.5	534	752.5	Bcell	1
reg1	535.5__877	535.5	877	Bcell	1
reg1	536.5__528.5	536.5	528.5	Bcell	1
reg1	537.5__1102.5	537.5	1102.5	Bcell	1
reg1	538.5__619	538.5	619	Bcell	1
reg1	538.5__1236.5	538.5	1236.5	Bcell	1
reg1	539.5__940.5	539.5	940.5	Bcell	1
reg1	540__1449	540	1449	Bcell	1
reg1	542__1068	542	1068	Bcell	1
reg1	543__694.5	543	694.5	Bcell	1
reg1	543.5__1013.5	543.5	1013.5	Bcell	1
reg1	543.5__1177.5	543.5	1177.5	Bcell	1
reg1	544__727	544	727	Bcell	1
reg1	544.5__766.5	544.5	766.5	Bcell	1
reg1	544.5__782.5	544.5	782.5	Bcell	1
reg1	544.5__1126.5	544.5	1126.5	Bcell	1
reg1	545__797.5	545	797.5	Bcell	1
reg1	547.5__822	547.5	822	Bcell	1
reg1	547.5__1161.5	547.5	1161.5	Bcell	1
reg1	547.5__1314	547.5	1314	Bcell	1
reg1	548__546	548	546	Bcell	1
reg1	548__845	548	845	Bcell	1
reg1	548__966.5	548	966.5	Bcell	1
reg1	548.5__1212	548.5	1212	Bcell	1
reg1	548.5__1386	548.5	1386	Bcell	1
reg1	549__1368.5	549	1368.5	Bcell	1
reg1	550__1296.5	550	1296.5	Bcell	1
reg1	550__1330	550	1330	Bcell	1
reg1	550.5__804.5	550.5	804.5	Bcell	1
reg1	550.5__1044	550.5	1044	Bcell	1
reg1	550.5__1346.5	550.5	1346.5	Bcell	1
reg1	551__569	551	569	Bcell	1
reg1	551__594	551	594	Bcell	1
reg1	552__1277.5	552	1277.5	Tumor	1
reg1	552.5__625.5	552.5	625.5	Tumor	1
reg1	553.5__512	553.5	512	Tumor	1
reg1	554.5__1227.5	554.5	1227.5	Tumor	1
reg1	554.5__1465	554.5	1465	Tumor	1
reg1	555__987.5	555	987.5	Stroma	1
reg1	556__1191	556	1191	Stroma	1
reg1	556.5__740.5	556.5	740.5	Stroma	1
reg1	557__676	557	676	Stroma	1
reg1	558__1253	558	1253	Stroma	1
reg1	558.5__527.5	558.5	527.5	Stroma	1
reg1	558.5__1106.5	558.5	1106.5	Stroma	1
reg1	560__898	560	898	Stroma	1
reg1	560__1137	560	1137	Stroma	1
reg1	560.5__647	560.5	647	Stroma	1
reg1	560.5__786	560.5	786	Stroma	1
reg1	561.5__860	561.5	860	Stroma	1
reg1	561.5__1024	561.5	1024	Stroma	1
reg1	561.5__1440.5	561.5	1440.5	Stroma	1
