Spots	Groups	Patients	cell_left	cell_mid	cell_right	N_mid	N_tot	ratio_mean	quant	mean_rand	sd_rand	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
9	2	9	Macrophage	Tumor	CD8T	461	2012	1.30574717493923	1	1.39306601308786	0.0361171340350406	1.3210857344038	1.33011114387087	1.36487191371122	1.3946781114333	1.41858290074291	1.4477023413227	1.46958588806867
9	2	9	Macrophage	Bcell	Stroma	96	2012	1.40123441815201	26	1.45369093840816	0.0847931707080261	1.2619149620391	1.31228732692991	1.39484260250404	1.45552340846749	1.50192175783549	1.58545263558551	1.67988309505187
9	2	9	Macrophage	CD4T	Stroma	456	2012	1.45705359304747	53	1.45507017528321	0.0428678882521903	1.35351100828792	1.3860356388255	1.43065936963215	1.45228335359335	1.48612640030171	1.52014350153389	1.56258843726324
9	2	9	Macrophage	CD8T	Stroma	193	2012	1.44610286896774	43	1.45205514108326	0.06486385288796	1.31241341382598	1.3502145335744	1.40287552656737	1.45545405663366	1.49682055109666	1.55624934452248	1.58447344310628
9	2	9	Macrophage	Macrophage	Stroma	289	2012	1.38417529442173	9	1.45351367998183	0.0550711892382879	1.35810583057694	1.36967921319871	1.41100795817736	1.45579964249129	1.49279936301114	1.55306491698923	1.57000413843403
9	2	9	Macrophage	Stroma	Stroma	192	2012	1.60433589314966	99	1.44642150790679	0.0625230307555521	1.30976362477166	1.34320621873665	1.40749063586448	1.44597732098001	1.48959438167256	1.53342748495499	1.57076067387221
9	2	9	Macrophage	Treg	Stroma	325	2012	1.46325501928358	58	1.45528681970365	0.0504095927523436	1.34645432129632	1.37008027428029	1.42718380405558	1.45617541378238	1.48371569017532	1.53999262803122	1.55421621453278
9	2	9	Macrophage	Tumor	Stroma	461	2012	1.43254715973313	34	1.44425253250307	0.041875862637822	1.32919747460911	1.37789810573825	1.41896996377621	1.44403561055766	1.47197793846464	1.50487855601189	1.54598056075762
9	2	9	Macrophage	Bcell	Treg	96	2012	1.20716568608864	83	1.14395224648139	0.0618553072826294	1.01588251830211	1.03433949716271	1.10275065235077	1.14844996092351	1.18040798582547	1.24868626934116	1.26049485304273
9	2	9	Macrophage	CD4T	Treg	456	2012	1.10103303987273	13	1.1338619000647	0.0304945950472579	1.07170796843684	1.08838424907789	1.11561602666027	1.13140572960583	1.15078462825776	1.18754329982695	1.20736094928791
9	2	9	Macrophage	CD8T	Treg	193	2012	1.1089377939376	30	1.13705884826755	0.0410113641516804	1.05507963703653	1.07621862219199	1.10555127799033	1.14056442833883	1.16285634986603	1.20083986605916	1.2248373253041
9	2	9	Macrophage	Macrophage	Treg	289	2012	1.04694661595833	0	1.1440729564437	0.0358355696748101	1.05819285411308	1.08264109190495	1.12202226471968	1.14148504196402	1.16888432427181	1.20278394371596	1.22471527155231
9	2	9	Macrophage	Stroma	Treg	192	2012	1.21307081330983	94	1.14503603327825	0.044841678249793	1.05836351721116	1.07291098842001	1.11208150382546	1.15096785314993	1.16905923132478	1.22293312090458	1.26265435776379
9	2	9	Macrophage	Treg	Treg	325	2012	1.1810055243643	85	1.14042024897513	0.0357127141580394	1.06844882218517	1.084026435298	1.11934158921887	1.13561501844424	1.16616247028608	1.2034343742335	1.20961082020689
9	2	9	Macrophage	Tumor	Treg	461	2012	1.17069566152596	86	1.13862467396593	0.029969214825042	1.07130987202986	1.08216343592499	1.12117934897734	1.13681089431933	1.1574653472375	1.19305752230616	1.20609529949935
9	2	9	Macrophage	Bcell	Tumor	96	2012	1.11811815127112	97	1.00730224777964	0.0625113463298878	0.880016596310794	0.907842377031698	0.966517638980125	1.00504000399675	1.04590278192827	1.11313159012352	1.14458302956507
9	2	9	Macrophage	CD4T	Tumor	456	2012	0.983896602477792	18	1.01083870890213	0.0281299825415205	0.952476965326861	0.970028687698945	0.991940289926047	1.01172784676045	1.02561606702327	1.05635284553107	1.06963975129846
9	2	9	Macrophage	CD8T	Tumor	193	2012	0.964208044055692	7	1.01580479054108	0.0426728803349776	0.92521074140646	0.95986151045814	0.989265419995741	1.01004554509149	1.04270792500014	1.08976944385771	1.12586017808224
9	2	9	Macrophage	Macrophage	Tumor	289	2012	0.973239924128797	13	1.01184426749588	0.0307455347396893	0.937113069262309	0.956535663760809	0.994526075241009	1.01681459777616	1.0312727759889	1.06000877506656	1.07609124523053
9	2	9	Macrophage	Stroma	Tumor	192	2012	1.13835681894817	99	1.01293698635702	0.0409891457544075	0.909978829417415	0.956873054654592	0.987323782713715	1.0096886510503	1.03887672684571	1.076566195326	1.09036450481003
9	2	9	Macrophage	Treg	Tumor	325	2012	1.07690658052061	99	1.01328605550042	0.0262919675597475	0.957477110479463	0.971135391471122	0.996882601687585	1.0099381467788	1.03121899373672	1.05955086406531	1.06646558082916
9	2	9	Macrophage	Tumor	Tumor	461	2012	0.978470066691093	7	1.01802779422492	0.0262225516940601	0.962023138950177	0.973008878716428	1.00007682842909	1.01959744824124	1.03546000468299	1.05949213060463	1.07100149763153
9	2	9	Stroma	Bcell	Bcell	96	2012	2.01110155325411	94	1.85399691099242	0.4328062777913	1.45160107522127	1.54662062424186	1.68342295034321	1.7721883553799	1.84034586016192	3.32164981322659	3.54460044307431
9	2	9	Stroma	CD4T	Bcell	456	2012	2.09188396660632	80	1.83733586419628	0.167981986371148	1.62655663860887	1.66488801506894	1.73175901748176	1.77405028108526	1.84785022188187	2.17454645515652	2.19352251664824
9	2	9	Stroma	CD8T	Bcell	193	2012	1.8110367736378	63	1.84436096723455	0.27379766881643	1.57196337313624	1.6327836195961	1.70150993189148	1.7713686418977	1.84801450053965	2.61463908905635	2.68133993112207
9	2	9	Stroma	Macrophage	Bcell	289	2012	1.71754834009351	21	1.81102562271466	0.173406364720976	1.58403918134047	1.64416528296016	1.73116867317478	1.77380446609575	1.81638452259911	2.30778698008923	2.35630238476213
9	2	9	Stroma	Stroma	Bcell	192	2012	1.6365105008773	9	1.80893983342794	0.235275124901694	1.56928402616892	1.61602252538815	1.69933029606931	1.74469662267299	1.82109095004917	2.52733488784739	2.62065131333176
9	2	9	Stroma	Treg	Bcell	325	2012	1.78711538642727	50	1.86506361622097	0.219003586753344	1.64133936640059	1.67019592936269	1.73478531031446	1.78523172792678	1.84374998478808	2.3349323834183	2.38640912979847
9	2	9	Stroma	Tumor	Bcell	461	2012	1.75049516632788	41	1.80804430798982	0.139961576964919	1.65668412962959	1.6777715386828	1.7296776772881	1.76059530066424	1.80517755805274	2.12782877578512	2.17967624759582
