ClusterName	cell2type	Groups	N_ct1	N_all	quant	zscore	mean_ct1	d_mean	d_sd	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
Treg	Stroma	2	1000	8999	0	-6.14373435617711	17.1930559548654	20.0663851675844	0.467684480828847	19.0127610273637	19.287870136682	19.7572409912086	20.0467454358674	20.407169063553	20.8147449384452	21.1249396794087
Tumor	Stroma	1	3376	8511	1000	42.4799787951256	28.1706495659199	19.4712791725897	0.204787540862153	19.0078083598089	19.136978002207	19.3308821856334	19.479887283543	19.6118650094625	19.799533567549	19.9395420257459
Tumor	Stroma	2	2939	8999	1000	38.1286702451529	25.0148683142618	17.1809818668781	0.205459209487633	16.7290694393171	16.8421290922478	17.0415148101569	17.1820550455499	17.3196935856621	17.515995764389	17.6559475427226
Bcell	Treg	1	588	8511	1	-3.40733517664806	22.6777352895158	25.4596598540083	0.816451690329212	23.6138238663354	24.1872336332512	24.9014989758011	25.4373889464779	26.0014617830158	26.855553886611	27.4506050038919
Bcell	Treg	2	615	8999	1	-3.31362429389585	16.8063156973424	18.6205448267325	0.54750598392585	17.3406506551507	17.7380270705273	18.2570570949551	18.6137782533216	18.9854377355434	19.4766596895498	19.8748602090836
CD4T	Treg	1	1056	8511	0	-6.84896109558447	21.5322790424752	25.7769894806598	0.619759753186682	24.3352677999173	24.7560289300284	25.3496849942247	25.7664371008592	26.2150077081977	26.7871173382843	27.2133691061894
CD4T	Treg	2	1491	8999	0	-8.9514423898806	15.8178690361806	19.0180157623343	0.357500678300895	18.2239092238784	18.429640309126	18.7697935606627	19.020685760302	19.2572385492304	19.5817443506064	19.8619956845964
CD8T	Treg	1	1157	8511	0	-5.80981866627992	22.2210718249868	25.7303473710007	0.604024970070358	24.4211680655304	24.7594132998087	25.3147045177273	25.7317823641401	26.1467094558888	26.6843512646195	27.2340474930462
CD8T	Treg	2	1011	8999	0	-5.81859208319686	16.3633724087876	18.7372618170039	0.407983473368346	17.8517959839597	18.0791747484685	18.4491588622326	18.7324013445654	19.0027199223211	19.4101904884042	19.7141047507355
Macrophage	Treg	1	814	8511	2	-2.7845438944857	23.3833192424757	25.4132575243713	0.729002076755005	23.7551537116016	24.2124008548814	24.9098106697311	25.3862886807252	25.8901089708315	26.5858436547782	27.1847600350034
Macrophage	Treg	2	1072	8999	0	-4.90707666556545	16.7331404686242	18.7235713565221	0.405624575190644	17.785597621577	18.0540264986333	18.4532587444955	18.7234500766943	19.0032465544688	19.3892786798315	19.6397794719721
Stroma	Treg	1	747	8511	0	-3.51778338153862	22.8478700990363	25.457326813537	0.741790051142779	23.801757226077	24.2769446821418	24.9252132198683	25.4660412024139	25.9273913071491	26.699513935364	27.2926866044619
Stroma	Treg	2	871	8999	0	-5.86297353219304	16.1250333290631	18.753919616181	0.448387882476863	17.7482544171831	18.0596010115961	18.4477887175173	18.7506800283735	19.0453842098369	19.5145628407091	19.8056855909097
Treg	Treg	1	773	8511	0	-12.7378637438885	16.9376880337543	26.0842944832268	0.718064397090208	24.4481500733024	24.9579858915518	25.5707200761896	26.069191960867	26.5666360561212	27.2726827443245	27.8052010262419
Treg	Treg	2	1000	8999	0	-6.83356764738541	15.8827987896479	18.8105335268366	0.428434294977514	17.8393125934957	18.0949184790483	18.5311147068894	18.8021068589498	19.1031388053606	19.5293873457302	19.8320371791997
Tumor	Treg	1	3376	8511	1000	35.3138045882361	30.806885658428	21.6091465015424	0.260457327216155	21.0365881517712	21.2028875395528	21.4278854858557	21.5973265478828	21.7898284177637	22.0366138311393	22.2639705618023
Tumor	Treg	2	2939	8999	1000	36.5339267412389	23.157618182089	16.2220849763982	0.18983815385665	15.8056681684151	15.9288879682749	16.0957720692503	16.2195476036547	16.3480268046418	16.5258080485231	16.6762834560672
Bcell	Tumor	1	588	8511	1000	5.56630070445913	12.8657345543702	11.2990479050281	0.281459219062149	10.661276795141	10.8556066374997	11.1110380932905	11.2921276612749	11.4704297665722	11.7795213732133	12.0005217587776
Bcell	Tumor	2	615	8999	649	0.328829997808103	11.2830255119561	11.1984402876863	0.257230863466332	10.6249781675683	10.7740548508522	11.0347884241692	11.1990385811588	11.3588703862182	11.6330054958955	11.844394464146
CD4T	Tumor	1	1056	8511	988	2.41786260709023	11.8511537326428	11.3382140463582	0.212145919615299	10.8672865010204	11.0065787067876	11.1903750190422	11.336783449632	11.4723048294682	11.6978602442172	11.8523064779787
CD4T	Tumor	2	1491	8999	1000	4.723030597139	11.8432221675113	11.0900090896493	0.159476645846459	10.743339621069	10.832012174082	10.9806595479811	11.0837241421405	11.1928925283464	11.3723640452014	11.4735718731452
CD8T	Tumor	1	1157	8511	1000	7.69708867312312	12.7097000468786	11.1938058538343	0.196943839082628	10.7521081535647	10.8746129891504	11.0639451324547	11.1948532901863	11.3219690137761	11.5242252453151	11.6612207898163
CD8T	Tumor	2	1011	8999	506	0.0308384707341899	11.2323096832298	11.2260913465878	0.201642185683561	10.7856023145869	10.9086721673063	11.0888444909455	11.2291867524761	11.3569933014914	11.5590409929001	11.7175282977414
Macrophage	Tumor	1	814	8511	1000	11.1667555874121	13.7337262362854	11.1569989835903	0.230749856798134	10.677715617346	10.7749637707352	11.0091849093126	11.1534123069617	11.3131538457604	11.5426881157506	11.6879325928742
Macrophage	Tumor	2	1072	8999	1000	4.21887422045086	11.9554446940895	11.1139219642012	0.199466181240736	10.700403305763	10.7973930441118	10.9748360693813	11.1028683537935	11.2395669193829	11.4587593538393	11.6289078868048
Stroma	Tumor	1	747	8511	1000	7.98028564326031	13.1905025859653	11.2244614008853	0.246362257313478	10.7171648341019	10.8270222525296	11.0506542938548	11.2256274478404	11.3799538900011	11.6296803519599	11.8455242780391
Stroma	Tumor	2	871	8999	1000	4.40672124224769	12.0382974586157	11.1285273186486	0.206450576279951	10.6955788821663	10.80809150792	10.9803948100215	11.1267051536541	11.2657572194819	11.4857863465066	11.6632954203368
Treg	Tumor	1	773	8511	966	1.93232379816876	11.825441903028	11.3554286983788	0.243237290300198	10.7878087421124	10.962525024259	11.1970620890401	11.3465911315323	11.5084203491244	11.7647665648049	11.947952897255
Treg	Tumor	2	1000	8999	1000	3.57045420650706	11.8638467940973	11.144237263291	0.201545654750259	10.7256513275175	10.8437458826755	11.0005601568417	11.131464837581	11.274820937509	11.5046309267791	11.6663618534024
Tumor	Tumor	1	3376	8511	0	-24.8432595940037	9.50764086578756	12.6566956754928	0.126756909566946	12.3750106312228	12.4432801966124	12.5716319622387	12.6597258031286	12.7403833136702	12.8683953866022	12.9523029026239
Tumor	Tumor	2	2939	8999	0	-12.7059796226023	10.1487897869786	11.7359847303576	0.124917164242539	11.4630562003555	11.5356862055919	11.6473414268246	11.7347889480521	11.8180716299069	11.9425977434719	12.0384263565574
